time (s),C_1 (V),C_2 (V),C_3 (V),C_4 (V)
-3e-06,0.0243741401937,-5.95094085205e-05,-4.94423169876e-05,0.0365057888161
-2.9996e-06,0.0359661562834,-4.15799029637e-05,-8.38443263201e-05,0.0264270391967
-2.9992e-06,0.0407706981059,-5.68260721397e-05,-6.72341078753e-05,0.0479984421004
-2.9988e-06,0.0374097155873,-3.69951975066e-05,-3.33082337165e-05,0.0435152787436
-2.9984e-06,0.0358767353464,-7.26464477833e-05,-6.58285151003e-05,0.0506667115446
-2.998e-06,0.0330830586608,-7.5713284174e-05,-3.69947076542e-05,0.0348750266898
-2.9976e-06,0.0435046048369,-5.55108272005e-05,-5.20406347932e-05,0.0324770619813
-2.9972e-06,0.0320654746611,-7.33020453248e-05,-2.02140839538e-05,0.0358317766991
-2.9968000000000003e-06,0.0267050403636,-4.36396481004e-05,-1.0730338865e-05,0.0419545474183
-2.9964000000000002e-06,0.0282463093754,-3.40345640201e-05,-4.28748350823e-05,0.0303659073729
-2.996e-06,0.0371340627316,-7.18850650359e-05,-5.33414945239e-05,0.0343617235962
-2.9956e-06,0.0313273246866,-4.65629276354e-05,-4.11909340182e-05,0.0431261605304
-2.9952e-06,0.025724543957,-7.74523013737e-05,-4.73275884287e-05,0.0389755841065
-2.9948e-06,0.0348336866591,-1.8232576875e-05,-4.06229494838e-05,0.0353056818899
-2.9944e-06,0.0289836607408,-4.93314981926e-05,-6.48957384983e-05,0.0355022933986
-2.994e-06,0.0348291487899,-3.55655675288e-05,-3.80774155492e-05,0.0354909266066
-2.9936e-06,0.0358859018888,-2.54374596756e-05,-2.75412224e-05,0.0345004394371
-2.9932e-06,0.0332789204549,-5.6910009915e-05,-3.06169431424e-05,0.0521099029761
-2.9928e-06,0.0336571538355,-4.01235430967e-05,-2.12253757054e-05,0.0347056703363
-2.9924e-06,0.0321957317647,-4.08571440261e-05,-6.15261109779e-05,0.0405815963354
-2.992e-06,0.0336351816077,-8.36206725798e-06,-5.66557607381e-05,0.0366167559009
-2.9916e-06,0.0299261847977,-4.41467951517e-05,-0.000116922620102,0.0377818660531
-2.9912000000000003e-06,0.0306358875241,-5.9953182796e-05,-6.69475119794e-05,0.0410502122436
-2.9908000000000002e-06,0.0284577498678,-2.76087483857e-05,-2.09351092344e-05,0.0371233790833
-2.9904e-06,0.0283579446841,-5.71629003156e-05,-1.42716789851e-05,0.0474479000736
-2.99e-06,0.0278608186636,-5.96263011452e-05,3.49200563476e-08,0.0406573827099
-2.9896e-06,0.0317567342427,-3.37573884521e-05,-8.41025005793e-05,0.0424442601111
-2.9892e-06,0.0229043734726,-7.18323009554e-05,-3.87577082729e-05,0.0418048442993
-2.9888e-06,0.0279689708259,-5.78922879416e-05,-5.31026207609e-05,0.0338905512076
-2.9884e-06,0.0359038531315,-5.93388018664e-05,-3.14582103165e-05,0.0294024704676
-2.988e-06,0.0220240105409,-4.93140303064e-05,-5.42021902511e-05,0.0278243187536
-2.9876e-06,0.0284705392551,-1.64391764905e-05,-5.82459812285e-05,0.0396750655677
-2.9872e-06,0.032757971203,-1.29508141894e-05,-3.58852207428e-05,0.0434583702777
-2.9868e-06,0.0257601204794,-3.32995214034e-05,-1.80603318149e-05,0.0351481789444
-2.9864e-06,0.0267445191275,-2.55036152434e-05,-6.75479404163e-06,0.0363580112066
-2.986e-06,0.0325886707287,-4.52146775555e-05,-5.66919309786e-05,0.0338061524276
-2.9856000000000003e-06,0.0283339072485,-3.20244453382e-05,-5.48860790441e-05,0.0467325744871
-2.9852000000000002e-06,0.0348836265039,-5.4563767137e-05,-9.72681200365e-05,0.02262037226
-2.9848e-06,0.0294344301801,-4.42874700297e-05,-9.04972407734e-05,0.0385789734032
-2.9844e-06,0.0319531874266,-1.14986983593e-05,-7.82738019479e-05,0.0480106633808
-2.984e-06,0.0358378852252,-4.62223918643e-05,-8.36787325097e-05,0.0439812427107
-2.9836e-06,0.0151463400107,-4.60291638505e-05,-6.28343118588e-05,0.0370565660018
-2.9832e-06,0.0307998864446,-2.21533042844e-05,1.40923903091e-05,0.0398920125049
-2.9828e-06,0.0399048917461,-2.29465145152e-05,3.42300127959e-05,0.0487516725156
-2.9824e-06,0.0288222974632,-8.95356698892e-06,2.08584069042e-05,0.0457203898299
-2.982e-06,0.0233069655951,-5.20846781786e-05,-3.30376658822e-05,0.0433638829459
-2.9816e-06,0.0337856600527,-3.93808939028e-05,-7.59935692186e-05,0.0391676647309
-2.9812e-06,0.0282712967601,-5.4456516495e-05,-9.169616492e-05,0.0408500477392
-2.9808e-06,0.0418646808248,-6.80305826012e-05,-8.42749745352e-05,0.0405289929081
-2.9804e-06,0.0345852656756,-6.64951534476e-05,-0.000116684024571,0.0380487737898
-2.9800000000000003e-06,0.0402970111463,-4.47634503711e-05,-9.99368237099e-05,0.0405143595021
-2.9796000000000002e-06,0.0406975590158,-5.53814022336e-05,-6.92242266377e-05,0.0342770035099
-2.9792e-06,0.0288051913958,-4.473142731e-05,-6.49522301974e-05,0.0288799728919
-2.9788e-06,0.0244191673119,-5.66236072686e-05,-6.56536057359e-05,0.0390836990159
-2.9784e-06,0.0386760116089,-2.82244997565e-05,-2.28373146383e-05,0.03442401045
-2.978e-06,0.0259646249469,-1.30141883623e-05,1.83219568571e-05,0.043030567253
-2.9776e-06,0.034333356889,-4.80991013814e-05,-2.71426967811e-06,0.0432836984005
-2.9772e-06,0.0344006845262,-5.31837678049e-05,-3.76489373157e-05,0.0501107794885
-2.9768e-06,0.0272548815701,-6.09584509861e-05,-3.73073084047e-05,0.0363634641003
-2.9764e-06,0.0231016019825,-5.48907549586e-05,-2.46063607046e-05,0.0350094631035
-2.976e-06,0.0300922465976,-7.15974931139e-05,8.10993148479e-06,0.0403069656063
-2.9756e-06,0.0390686199535,-6.30400840659e-05,-3.46335010836e-05,0.0424245090876
-2.9752e-06,0.0355852779467,-2.16468724888e-05,-7.46727850055e-05,0.0357462486904
-2.9748e-06,0.0197742891032,-9.27234863397e-05,-0.000101964550442,0.0441642359551
-2.9744000000000003e-06,0.0359856511932,-5.78896224964e-05,-0.000103135079728,0.0383391229156
-2.9740000000000002e-06,0.030129152583,-6.65469326544e-05,-0.000105836002505,0.0397852037754
-2.9736e-06,0.0374657253269,-4.58795161452e-05,-0.000126131620375,0.0383235977683
-2.9732e-06,0.0335250946227,-5.54528495762e-05,-8.12593124574e-05,0.0319507180434
-2.9728e-06,0.0311145780142,-4.44609041791e-05,-6.37316853972e-05,0.0417493351456
-2.9724e-06,0.0220931449439,-2.7090203343e-05,-4.52429299476e-05,0.0392817540746
-2.972e-06,0.0323458609637,-2.93014555704e-05,-4.32284536073e-05,0.0357038362604
-2.9716e-06,0.0385898503009,-8.4991957387e-05,-5.80659926636e-05,0.0350453795586
-2.9712e-06,0.0257455266546,-5.39011315908e-05,-8.12791275093e-05,0.0434594017174
-2.9708e-06,0.0402221421245,-8.08904728386e-05,-8.30961739412e-05,0.0343161167298
-2.9704e-06,0.0269235449377,-6.29209143575e-05,-3.8662202307e-05,0.0316759965103
-2.97e-06,0.0292691646609,-3.31575808581e-05,-9.68616571045e-05,0.0412713966984
-2.9696e-06,0.0315953313839,-3.9150961535e-05,-2.31135577196e-05,0.0418807727005
-2.9692e-06,0.0258270220365,-2.0957277948e-05,-2.64463362983e-05,0.0387457919028
-2.9688000000000003e-06,0.0433245988097,-1.73021227587e-05,-3.03438036935e-05,0.0346707364265
-2.9684000000000002e-06,0.0351564155426,-6.49785779882e-05,-8.31141927047e-05,0.0428376856912
-2.9680000000000002e-06,0.0250430020969,-4.65858339798e-05,-7.94255243382e-05,0.0434248822462
-2.9676e-06,0.0274392345455,-1.79309079889e-05,-1.54175049393e-05,0.0316186782625
-2.9672e-06,0.0315938272979,-2.55650462117e-05,-2.17971192906e-05,0.0377587878797
-2.9668e-06,0.0341095996555,-1.34181695525e-05,-5.86210935144e-05,0.039828060912
-2.9664e-06,0.0352705933619,-5.72255187202e-05,-4.25462132553e-05,0.0333565937076
-2.966e-06,0.0317950046156,-4.62437601294e-05,-6.31135863951e-05,0.0384592029918
-2.9656e-06,0.0293994240928,-2.32329520862e-05,-7.21574946074e-05,0.0402111394983
-2.9652e-06,0.0231445941608,-5.93621356878e-05,-9.41563885426e-05,0.0448494984489
-2.9648e-06,0.0367737922352,-6.23291240539e-05,-0.000102418656345,0.0414443409722
-2.9644e-06,0.0292353064287,-3.92949305009e-05,-8.05388238514e-05,0.0325802664924
-2.964e-06,0.0418778380845,-5.0989951333e-05,-5.20683928626e-05,0.0426691814978
-2.9636e-06,0.0322950410191,-1.97734696325e-05,-5.05736853229e-05,0.0376024886686
-2.9632000000000003e-06,0.0353598489892,-4.50363455806e-05,-8.19067318225e-05,0.0502123541851
-2.9628000000000002e-06,0.0317938427906,-6.35192565154e-05,-4.92239416344e-05,0.0353846114781
-2.9624000000000002e-06,0.0308996962849,-2.7369280206e-05,-5.17731880536e-05,0.039647228336
-2.962e-06,0.0388459546957,-1.5640142234e-05,-1.39220360434e-05,0.0327187914122
-2.9616e-06,0.0352768844459,-1.06333967764e-05,-6.32417515153e-05,0.0341009299923
-2.9612e-06,0.0322636018973,-9.15546285454e-05,-0.000105468676076,0.0359620081913
-2.9608e-06,0.0300083414186,-6.06629944872e-05,-8.28855285654e-05,0.0376583330985
-2.9604e-06,0.0314349133987,-2.609453802e-05,-5.80467201071e-05,0.0467420669924
-2.96e-06,0.0288580229972,-3.35860665422e-05,-5.83135242341e-05,0.0455286025722
-2.9596e-06,0.0281808746513,-5.78136866447e-05,-8.12078347662e-05,0.0404608037975
-2.9592e-06,0.0300080317538,-7.88638054859e-05,-8.89935902087e-05,0.0471092642006
-2.9588e-06,0.0301824894268,-5.25644806679e-05,-8.69714013534e-05,0.0351080529112
-2.9584e-06,0.032675875118,-3.4421949042e-05,-7.84461501753e-05,0.0449925891776
-2.958e-06,0.0270902749617,-3.35521198343e-05,-6.13937933231e-05,0.0438995773625
-2.9576000000000003e-06,0.0302646949422,-4.31835916824e-06,-9.60572109325e-05,0.0467125673499
-2.9572000000000002e-06,0.0402373832185,-6.40187564772e-05,-0.000120451316354,0.0354549798835
-2.9568000000000002e-06,0.027438608231,-3.38468093891e-05,-6.18378083454e-05,0.0407803312596
-2.9564e-06,0.0298859097529,-4.92616489995e-05,-6.53340864228e-05,0.0402545228321
-2.956e-06,0.0370602996554,-2.60918446351e-05,-1.93072598195e-05,0.0418703791406
-2.9556e-06,0.0227440649178,-1.29030331504e-05,-2.94986633817e-05,0.0484393907432
-2.9552e-06,0.0331907870714,-2.40330829751e-05,1.25102897873e-05,0.0336602979992
-2.9548e-06,0.0298496976029,-3.57154974248e-05,-3.39138448471e-05,0.0327344259899
-2.9544e-06,0.0327554310206,-4.41353566479e-05,-4.96395012597e-05,0.0465527640376
-2.954e-06,0.0318128534127,-4.53448876273e-05,-2.30982875219e-05,0.0336269450095
-2.9536e-06,0.0200495508034,-2.85139045212e-05,-3.59178310027e-05,0.0432786180358
-2.9532e-06,0.0305763061624,-4.35282847378e-05,-6.82295426959e-05,0.0400581325125
-2.9528e-06,0.0396080722567,-1.60351715516e-05,-8.4740669583e-05,0.0432994144689
