time (s),C_1 (V),C_2 (V),C_3 (V),C_4 (V)
-3e-06,0.0348132813815,-6.93040311802e-05,-7.58231639629e-05,0.0369812243339
-2.9996e-06,0.026624359889,-5.05536187906e-05,-7.49043932883e-05,0.0411717475113
-2.9992e-06,0.0324508536141,-1.66141906287e-05,-0.000108460805961,0.0414862015937
-2.9988e-06,0.0339241081383,-4.80803343002e-05,-3.67459921399e-05,0.0411826975364
-2.9984e-06,0.0282876344863,-2.18898638617e-05,-5.39254465839e-05,0.0416203958634
-2.998e-06,0.032394110458,-6.50981779676e-05,-6.66049936553e-05,0.0449316806812
-2.9976e-06,0.0203268264886,-8.94351050723e-05,-5.95096742036e-05,0.0375276196469
-2.9972e-06,0.0268746039364,-5.26828624774e-05,-2.99849406583e-05,0.0360341018718
-2.9968000000000003e-06,0.0231060560327,-5.02688101027e-05,-2.25301015889e-05,0.0497205227334
-2.9964000000000002e-06,0.0233754108194,-3.33459222224e-05,-4.70696318662e-05,0.0339104139898
-2.996e-06,0.0270894041751,-8.38730040472e-05,-5.22475560429e-05,0.043293488929
-2.9956e-06,0.0241541850846,-4.94725209195e-05,-8.79107193323e-05,0.0362001776416
-2.9952e-06,0.028273233911,-4.88069796469e-05,-7.66749457689e-05,0.0359795333538
-2.9948e-06,0.0225197349209,-3.51105154026e-05,-5.65248947823e-05,0.0483162536006
-2.9944e-06,0.0254214333836,-5.0894209044e-05,-3.10144781834e-05,0.0396070138272
-2.994e-06,0.0241248088423,-5.95995405223e-05,-0.000100917214178,0.0395274253283
-2.9936e-06,0.0328735343646,-6.81987766642e-05,-8.85637685424e-05,0.0453395277914
-2.9932e-06,0.0230010075029,-3.15799697768e-05,-2.57226823596e-05,0.0387854196783
-2.9928e-06,0.0268614094239,-6.42649092246e-05,-3.43575967709e-05,0.0323316615727
-2.9924e-06,0.027252061991,-5.33216990065e-05,-3.27389464946e-05,0.0407874302659
-2.992e-06,0.023650258081,-5.62773843761e-05,-0.000102301360923,0.0360872128699
-2.9916e-06,0.0267888314556,-5.54315846879e-05,-0.000120381814078,0.0428207449336
-2.9912000000000003e-06,0.0237960356753,-8.47335670609e-05,-0.000108862190857,0.0340269596968
-2.9908000000000002e-06,0.0383100321051,-7.32257490512e-05,-5.18950527767e-05,0.0381192888785
-2.9904e-06,0.0281977572013,-4.29935304914e-05,-3.65939758485e-05,0.0424845398124
-2.99e-06,0.0302658847068,-3.41998872813e-05,-9.29609149462e-05,0.03199284642
-2.9896e-06,0.0336229347158,-3.27175085898e-05,-6.92119390005e-05,0.0289837082569
-2.9892e-06,0.0419498083647,-5.12635771651e-05,-7.67009308329e-05,0.0367235739436
-2.9888e-06,0.0261420814786,-5.79164892901e-05,-6.07291468186e-05,0.0363997856807
-2.9884e-06,0.0326761847828,-2.66406176146e-05,-4.83906023437e-05,0.0349807155039
-2.988e-06,0.0276299298275,-7.76167096104e-05,-7.27151752217e-05,0.0418602440227
-2.9876e-06,0.0190680089872,-5.90429430362e-05,-9.23599243397e-05,0.0484454420116
-2.9872e-06,0.0325993343722,-4.64055224787e-05,-7.71625699708e-05,0.035066087516
-2.9868e-06,0.0339072861243,-4.11372798029e-05,-3.34072659025e-05,0.033984610131
-2.9864e-06,0.03448143485,-1.81601628195e-05,-5.72264251532e-05,0.0346550413128
-2.986e-06,0.0357684830669,-9.32803213131e-05,-9.47790952632e-05,0.0341861064266
-2.9856000000000003e-06,0.030618609162,-4.65424855705e-05,-5.01557147363e-05,0.0295974172372
-2.9852000000000002e-06,0.0307999586221,-6.25371503178e-05,-2.540431323e-05,0.0390764603112
-2.9848e-06,0.0355470331851,-1.6657367209e-05,-3.58890508069e-05,0.0335802461673
-2.9844e-06,0.0345731840935,-6.79152406286e-05,-0.000101148573332,0.0315123468358
-2.984e-06,0.0391764088999,-3.76906817313e-05,-8.03658737568e-05,0.039824216878
-2.9836e-06,0.0398131331895,-5.12988230679e-05,-0.000101113307639,0.0443370195758
-2.9832e-06,0.0302384851966,-4.29080448579e-05,-4.0487729595e-05,0.0303402005415
-2.9828e-06,0.0223542063031,-4.98928538058e-05,2.20241538482e-05,0.0387879878003
