time (s),C_1 (V),C_2 (V),C_3 (V),C_4 (V)
-3e-06,0.0303473591339,-4.63774333242e-05,-7.47389275348e-05,0.0468397091795
-2.9996e-06,0.0257738481741,-6.32512381766e-05,-6.48169928463e-05,0.0362602595892
-2.9992e-06,0.033530931687,-4.56308250781e-05,-4.79266535258e-05,0.0387666069623
-2.9988e-06,0.0227223976981,-9.6458796272e-05,-5.97718030913e-05,0.0432057513576
-2.9984e-06,0.0287948420737,-1.00746410898e-06,-7.6772725326e-05,0.0462133318838
-2.998e-06,0.039140394656,-7.73839357775e-05,-0.000111899247742,0.0435817938019
-2.9976e-06,0.0253136374522,-7.97334838193e-05,-0.000108202245203,0.0409108235221
-2.9972e-06,0.0325958256144,-6.51361954864e-05,-4.50590891996e-05,0.0392158210929
-2.9968000000000003e-06,0.0336740340572,-4.21788681764e-05,-1.32437072462e-05,0.037208215585
-2.9964000000000002e-06,0.0310768710915,-3.52110004518e-05,-3.15184005303e-05,0.0396842041705
-2.996e-06,0.0347489037085,-4.09797042143e-05,-7.84116551513e-05,0.0371276864503
-2.9956e-06,0.0309514405672,-3.97534038406e-05,-8.47415904282e-05,0.0356264293846
-2.9952e-06,0.0214072747622,-4.79867112357e-05,-8.67096449947e-05,0.0470361949597
-2.9948e-06,0.0381112552714,-4.05406824779e-05,-6.85260490282e-05,0.0455851105694
-2.9944e-06,0.0400325644296,-3.91666692216e-05,-6.47044914076e-05,0.0339010914508
-2.994e-06,0.0318574497942,-4.9723603623e-05,-7.45896551525e-05,0.0393455263879
-2.9936e-06,0.0245566538069,-2.67944632564e-05,-2.8766514617e-05,0.0397358716186
-2.9932e-06,0.0338604871649,-1.2854675157e-05,1.7044612905e-06,0.0455328982975
-2.9928e-06,0.0275366951246,-4.39093092922e-05,8.56366020161e-06,0.0377186967712
-2.9924e-06,0.0319323863368,-5.60559037607e-05,-6.25394295203e-05,0.0430751170684
-2.992e-06,0.0211739016231,-6.12547414843e-05,-9.29638521047e-05,0.04110938848
-2.9916e-06,0.0356221187394,-8.03101685364e-05,-0.000102869419963,0.041270656297
